
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   3580     181   170912     207984     338.42   6596   1 explorer                                                                                                                                                                          
   1883      67   148980     187296     296.44   7356   1 chrome                                                                                                                                                                            
    707      52   271692     165708     174.94    468   1 chrome                                                                                                                                                                            
   1186      87    50636      62652     152.11   2460   1 Steam                                                                                                                                                                             
    991    3009  3193176    1321300      85.41  11384   1 Three_Kingdoms                                                                                                                                                                    
    492      27    37080      46116      83.02  12268   1 chrome                                                                                                                                                                            
   1022      68   164912     190800      82.69   7268   1 chrome                                                                                                                                                                            
    792      42    44908      34000      56.66   6296   1 NVIDIA Share                                                                                                                                                                      
    420      34    58936      86384      48.08  12076   1 chrome                                                                                                                                                                            
   1593     117   156832     191984      45.23   8060   1 SearchUI                                                                                                                                                                          
    498      98    54704      57360      41.34   5980   1 nvcontainer                                                                                                                                                                       
    338      35    74072      79100      33.25   5808   1 NVIDIA Share                                                                                                                                                                      
    371      34    66136      95780      30.75  13536   1 chrome                                                                                                                                                                            
    383      29    37076      67496      20.47  11592   1 chrome                                                                                                                                                                            
    422      21     7452      11784      19.69   5972   1 nvcontainer                                                                                                                                                                       
    425      30    35052      55440      16.64   7672   1 OpenHardwareMonitor                                                                                                                                                               
    696      18     8096      19828      11.81   6004   1 sihost                                                                                                                                                                            
    254      15    13228      23244      11.08   4060   1 conhost                                                                                                                                                                           
   1102      44    51964      78528      10.16   7752   1 ShellExperienceHost                                                                                                                                                               
    590      35    88296      75388       8.77    788   1 steamwebhelper                                                                                                                                                                    
