
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   3596     176   172412     210516     335.34   6596   1 explorer                                                                                                                                                                          
   1821      67   148012     185384     294.00   7356   1 chrome                                                                                                                                                                            
    684      49   254924     163484     172.19    468   1 chrome                                                                                                                                                                            
   1198      90    50980      63060     139.34   2460   1 Steam                                                                                                                                                                             
    491      27    37112      46040      82.98  12268   1 chrome                                                                                                                                                                            
   1021      85   186352     209584      80.81   7268   1 chrome                                                                                                                                                                            
    796      42    44928      44972      56.47   6296   1 NVIDIA Share                                                                                                                                                                      
    429      53   103744     123676      47.34  12076   1 chrome                                                                                                                                                                            
   1593     117   156832     192696      45.23   8060   1 SearchUI                                                                                                                                                                          
    498      98    54732      57360      41.28   5980   1 nvcontainer                                                                                                                                                                       
   1016    3010  3184076    1321668      38.09  11384   1 Three_Kingdoms                                                                                                                                                                    
    338      35    74076      78932      33.14   5808   1 NVIDIA Share                                                                                                                                                                      
    368      33    55808      84028      27.66  13536   1 chrome                                                                                                                                                                            
    422      21     7452      11784      19.48   5972   1 nvcontainer                                                                                                                                                                       
    425      30    35052      55504      16.63   7672   1 OpenHardwareMonitor                                                                                                                                                               
    720      19     8244      19944      11.81   6004   1 sihost                                                                                                                                                                            
    254      15    13228      23244      10.98   4060   1 conhost                                                                                                                                                                           
   1102      44    51964      78592      10.16   7752   1 ShellExperienceHost                                                                                                                                                               
    588      35    88296      79892       8.77    788   1 steamwebhelper                                                                                                                                                                    
    716      33    16256      33536       7.83   7332   1 RuntimeBroker                                                                                                                                                                     
