
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   3662     176   172872     211268     335.27   6596   1 explorer                                                                                                                                                                          
   1826      68   148084     185888     294.00   7356   1 chrome                                                                                                                                                                            
    684      49   254924     163708     172.19    468   1 chrome                                                                                                                                                                            
   1196      90    50944      62516     139.00   2460   1 Steam                                                                                                                                                                             
    494      27    37148      46204      82.98  12268   1 chrome                                                                                                                                                                            
   1021      85   185992     209184      80.81   7268   1 chrome                                                                                                                                                                            
    794      42    44904      41724      56.38   6296   1 NVIDIA Share                                                                                                                                                                      
    429      53   103744     124144      47.34  12076   1 chrome                                                                                                                                                                            
   1593     117   156832     193184      45.23   8060   1 SearchUI                                                                                                                                                                          
    498      98    54732      56680      41.09   5980   1 nvcontainer                                                                                                                                                                       
    338      35    74020      72660      33.03   5808   1 NVIDIA Share                                                                                                                                                                      
    368      33    55808      84536      27.66  13536   1 chrome                                                                                                                                                                            
    422      21     7452      11692      19.48   5972   1 nvcontainer                                                                                                                                                                       
    425      30    35308      56160      16.63   7672   1 OpenHardwareMonitor                                                                                                                                                               
    879    2683  1069700     888332      13.28  11384   1 Three_Kingdoms                                                                                                                                                                    
    738      19     8312      20044      11.81   6004   1 sihost                                                                                                                                                                            
    254      15    13228      23308      10.97   4060   1 conhost                                                                                                                                                                           
   1102      44    51964      78904      10.16   7752   1 ShellExperienceHost                                                                                                                                                               
    588      35    88360      80024       8.77    788   1 steamwebhelper                                                                                                                                                                    
    725      33    16364      33712       7.83   7332   1 RuntimeBroker                                                                                                                                                                     
