
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   3599     181   175500     212288     337.91   6596   1 explorer                                                                                                                                                                          
   1880      67   148952     187272     295.92   7356   1 chrome                                                                                                                                                                            
    707      52   271692     165452     174.23    468   1 chrome                                                                                                                                                                            
   1186      87    50636      62640     148.03   2460   1 Steam                                                                                                                                                                             
    492      27    37080      46116      83.02  12268   1 chrome                                                                                                                                                                            
   1014      68   164768     191368      81.91   7268   1 chrome                                                                                                                                                                            
    990    3009  3193144    1321208      77.67  11384   1 Three_Kingdoms                                                                                                                                                                    
    789      41    44852      36964      56.61   6296   1 NVIDIA Share                                                                                                                                                                      
    420      34    58936      86384      48.08  12076   1 chrome                                                                                                                                                                            
   1593     117   156832     191984      45.23   8060   1 SearchUI                                                                                                                                                                          
    498      98    54704      57360      41.33   5980   1 nvcontainer                                                                                                                                                                       
    338      35    74072      78852      33.22   5808   1 NVIDIA Share                                                                                                                                                                      
    371      34    66124      95628      30.14  13536   1 chrome                                                                                                                                                                            
    422      21     7452      11784      19.59   5972   1 nvcontainer                                                                                                                                                                       
    425      30    35052      55440      16.64   7672   1 OpenHardwareMonitor                                                                                                                                                               
    383      29    37076      67500      13.25  11592   1 chrome                                                                                                                                                                            
    700      18     8092      19824      11.81   6004   1 sihost                                                                                                                                                                            
    254      15    13228      23244      11.03   4060   1 conhost                                                                                                                                                                           
   1102      44    51964      78528      10.16   7752   1 ShellExperienceHost                                                                                                                                                               
    590      35    88296      75688       8.77    788   1 steamwebhelper                                                                                                                                                                    
