
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   3601     175   171436     206264     333.95   6596   1 explorer                                                                                                                                                                          
   1829      68   148040     185868     291.69   7356   1 chrome                                                                                                                                                                            
    684      49   256676     164968     171.95    468   1 chrome                                                                                                                                                                            
   1096      84    50060      57068     137.72   2460   1 Steam                                                                                                                                                                             
    495      27    37088      46176      82.97  12268   1 chrome                                                                                                                                                                            
   1027      83   164564     188352      74.84   7268   1 chrome                                                                                                                                                                            
    794      42    44884      41712      56.23   6296   1 NVIDIA Share                                                                                                                                                                      
    441      56   109516     127932      44.13  12076   1 chrome                                                                                                                                                                            
   2405     174   194100     227464      42.27   8060   1 SearchUI                                                                                                                                                                          
    498      98    54704      56256      41.06   5980   1 nvcontainer                                                                                                                                                                       
    338      35    73656      72848      32.89   5808   1 NVIDIA Share                                                                                                                                                                      
    368      33    55808      84536      27.66  13536   1 chrome                                                                                                                                                                            
    414      20     7392      11092      19.39   5972   1 nvcontainer                                                                                                                                                                       
    425      30    35244      56148      16.61   7672   1 OpenHardwareMonitor                                                                                                                                                               
    709      19     8300      18852      11.80   6004   1 sihost                                                                                                                                                                            
    262      16    13284      23336      10.91   4060   1 conhost                                                                                                                                                                           
   1102      44    51964      78908      10.16   7752   1 ShellExperienceHost                                                                                                                                                               
    560      34   106376      87608       8.75    788   1 steamwebhelper                                                                                                                                                                    
    777      34    16144      32472       7.63   7332   1 RuntimeBroker                                                                                                                                                                     
    719      79    33544      10084       7.11   6896   1 NVIDIA Web Helper                                                                                                                                                                 
