
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   3721     182   178800     214020     336.80   6596   1 explorer                                                                                                                                                                          
   1926      70   149116     187500     294.61   7356   1 chrome                                                                                                                                                                            
    709      53   363768     190556     172.72    468   1 chrome                                                                                                                                                                            
   1190      88    50508      62520     140.33   2460   1 Steam                                                                                                                                                                             
    507      29    37188      46160      83.00  12268   1 chrome                                                                                                                                                                            
   1023      67   165480     192204      81.72   7268   1 chrome                                                                                                                                                                            
    993    3009  3193184    1321424      62.58  11384   1 Three_Kingdoms                                                                                                                                                                    
    791      42    44876      44936      56.48   6296   1 NVIDIA Share                                                                                                                                                                      
    427      36    60328      88164      47.80  12076   1 chrome                                                                                                                                                                            
   1593     117   156832     192636      45.23   8060   1 SearchUI                                                                                                                                                                          
    498      98    54700      57356      41.30   5980   1 nvcontainer                                                                                                                                                                       
    338      35    74076      79260      33.14   5808   1 NVIDIA Share                                                                                                                                                                      
    371      33    57280      85940      27.70  13536   1 chrome                                                                                                                                                                            
    422      21     7452      11784      19.48   5972   1 nvcontainer                                                                                                                                                                       
    425      30    35052      55440      16.63   7672   1 OpenHardwareMonitor                                                                                                                                                               
    708      18     8144      19864      11.81   6004   1 sihost                                                                                                                                                                            
    254      15    13228      23240      11.00   4060   1 conhost                                                                                                                                                                           
   1102      44    51964      78528      10.16   7752   1 ShellExperienceHost                                                                                                                                                               
    588      35    88296      79884       8.77    788   1 steamwebhelper                                                                                                                                                                    
    695      31    15904      31252       7.83   7332   1 RuntimeBroker                                                                                                                                                                     
