
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   3576     183   171320     208212     339.23   6596   1 explorer                                                                                                                                                                          
   1887      68   149128     188216     298.36   7356   1 chrome                                                                                                                                                                            
    707      52   302272     182952     176.30    468   1 chrome                                                                                                                                                                            
   1192      87    50836      62820     157.23   2460   1 Steam                                                                                                                                                                             
    996    3009  3193856    1321376      94.14  11384   1 Three_Kingdoms                                                                                                                                                                    
    568      35    37500      46372      83.19  12268   1 chrome                                                                                                                                                                            
   1013      69   167048     193468      82.84   7268   1 chrome                                                                                                                                                                            
    791      42    44884      33988      56.75   6296   1 NVIDIA Share                                                                                                                                                                      
    420      34    58936      86384      48.08  12076   1 chrome                                                                                                                                                                            
   1593     117   156832     191824      45.23   8060   1 SearchUI                                                                                                                                                                          
    498      97    54640      57324      41.36   5980   1 nvcontainer                                                                                                                                                                       
    338      35    74076      78916      33.31   5808   1 NVIDIA Share                                                                                                                                                                      
    389      36    54732      84712      32.64  13536   1 chrome                                                                                                                                                                            
    383      29    37120      67516      29.88  11592   1 chrome                                                                                                                                                                            
    422      21     7452      11784      19.73   5972   1 nvcontainer                                                                                                                                                                       
    425      30    35052      55440      16.64   7672   1 OpenHardwareMonitor                                                                                                                                                               
    694      18     8032      19796      11.81   6004   1 sihost                                                                                                                                                                            
    254      15    13228      23244      11.11   4060   1 conhost                                                                                                                                                                           
   1102      44    51964      78528      10.16   7752   1 ShellExperienceHost                                                                                                                                                               
    590      35    88296      75388       8.77    788   1 steamwebhelper                                                                                                                                                                    
