
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   3491     171   169224     204952     334.78   6596   1 explorer                                                                                                                                                                          
   1821      67   148040     185868     294.00   7356   1 chrome                                                                                                                                                                            
    684      49   254924     163716     172.19    468   1 chrome                                                                                                                                                                            
   1096      84    50060      57080     138.61   2460   1 Steam                                                                                                                                                                             
    495      27    37088      46176      82.97  12268   1 chrome                                                                                                                                                                            
   1027      85   185752     208960      80.81   7268   1 chrome                                                                                                                                                                            
    797      42    44884      41712      56.38   6296   1 NVIDIA Share                                                                                                                                                                      
    441      54   103920     124232      47.34  12076   1 chrome                                                                                                                                                                            
   2683     205   235472     266840      44.22   8060   1 SearchUI                                                                                                                                                                          
    498      98    54704      56256      41.09   5980   1 nvcontainer                                                                                                                                                                       
    344      36    73836      72456      33.03   5808   1 NVIDIA Share                                                                                                                                                                      
    368      33    55808      84536      27.66  13536   1 chrome                                                                                                                                                                            
    414      20     7392      11092      19.48   5972   1 nvcontainer                                                                                                                                                                       
    425      30    35244      56148      16.63   7672   1 OpenHardwareMonitor                                                                                                                                                               
    699      18     8248      18816      11.81   6004   1 sihost                                                                                                                                                                            
    254      15    13228      23308      10.95   4060   1 conhost                                                                                                                                                                           
   1102      44    51964      78908      10.16   7752   1 ShellExperienceHost                                                                                                                                                               
    563      35   106404      87632       8.75    788   1 steamwebhelper                                                                                                                                                                    
    817      34    16488      33344       7.72   7332   1 RuntimeBroker                                                                                                                                                                     
    719      79    33544      10036       7.11   6896   1 NVIDIA Web Helper                                                                                                                                                                 
