
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   3641     182   176288     212644     337.77   6596   1 explorer                                                                                                                                                                          
   1886      68   149020     187308     295.88   7356   1 chrome                                                                                                                                                                            
    707      52   271692     165412     174.22    468   1 chrome                                                                                                                                                                            
   1186      87    50636      62648     147.47   2460   1 Steam                                                                                                                                                                             
    503      28    37180      46168      83.02  12268   1 chrome                                                                                                                                                                            
   1014      68   164648     191624      81.91   7268   1 chrome                                                                                                                                                                            
    990    3009  3193144    1321204      76.19  11384   1 Three_Kingdoms                                                                                                                                                                    
    793      42    44880      38116      56.61   6296   1 NVIDIA Share                                                                                                                                                                      
    420      34    58936      86384      48.08  12076   1 chrome                                                                                                                                                                            
   1593     117   156832     191984      45.23   8060   1 SearchUI                                                                                                                                                                          
    498      98    54704      57360      41.33   5980   1 nvcontainer                                                                                                                                                                       
    338      35    74072      78808      33.22   5808   1 NVIDIA Share                                                                                                                                                                      
    371      34    66116      95596      30.00  13536   1 chrome                                                                                                                                                                            
    422      21     7452      11784      19.58   5972   1 nvcontainer                                                                                                                                                                       
    425      30    35052      55440      16.63   7672   1 OpenHardwareMonitor                                                                                                                                                               
    383      29    37076      67500      12.25  11592   1 chrome                                                                                                                                                                            
    707      18     8180      19884      11.81   6004   1 sihost                                                                                                                                                                            
    254      15    13228      23244      11.03   4060   1 conhost                                                                                                                                                                           
   1102      44    51964      78528      10.16   7752   1 ShellExperienceHost                                                                                                                                                               
    590      35    88296      76412       8.77    788   1 steamwebhelper                                                                                                                                                                    
