
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   3580     182   171052     208068     338.67   6596   1 explorer                                                                                                                                                                          
   1880      67   148944     187276     296.94   7356   1 chrome                                                                                                                                                                            
    707      52   271692     165884     175.33    468   1 chrome                                                                                                                                                                            
   1192      87    50836      62828     154.73   2460   1 Steam                                                                                                                                                                             
    983    3008  3193764    1321312      89.94  11384   1 Three_Kingdoms                                                                                                                                                                    
    496      27    37088      46124      83.02  12268   1 chrome                                                                                                                                                                            
   1019      69   165400     192164      82.73   7268   1 chrome                                                                                                                                                                            
    791      42    44884      33988      56.73   6296   1 NVIDIA Share                                                                                                                                                                      
    420      34    58936      86384      48.08  12076   1 chrome                                                                                                                                                                            
   1593     117   156832     191984      45.23   8060   1 SearchUI                                                                                                                                                                          
    498      98    54728      57372      41.36   5980   1 nvcontainer                                                                                                                                                                       
    338      35    74076      78756      33.27   5808   1 NVIDIA Share                                                                                                                                                                      
    371      34    66256      95880      31.20  13536   1 chrome                                                                                                                                                                            
    383      29    37076      67496      25.63  11592   1 chrome                                                                                                                                                                            
    422      21     7452      11784      19.69   5972   1 nvcontainer                                                                                                                                                                       
    425      30    35052      55440      16.64   7672   1 OpenHardwareMonitor                                                                                                                                                               
    696      18     8096      19828      11.81   6004   1 sihost                                                                                                                                                                            
    254      15    13228      23244      11.09   4060   1 conhost                                                                                                                                                                           
   1102      44    51964      78528      10.16   7752   1 ShellExperienceHost                                                                                                                                                               
    590      35    88296      75388       8.77    788   1 steamwebhelper                                                                                                                                                                    
