
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   3692     184   177824     213012     337.45   6596   1 explorer                                                                                                                                                                          
   1886      68   149020     187308     295.81   7356   1 chrome                                                                                                                                                                            
    707      52   271692     165324     174.09    468   1 chrome                                                                                                                                                                            
   1191      89    50636      62644     146.16   2460   1 Steam                                                                                                                                                                             
    503      28    37180      46168      83.02  12268   1 chrome                                                                                                                                                                            
   1014      68   164896     191300      81.84   7268   1 chrome                                                                                                                                                                            
    987    3008  3193084    1321168      73.38  11384   1 Three_Kingdoms                                                                                                                                                                    
    796      42    44908      40508      56.58   6296   1 NVIDIA Share                                                                                                                                                                      
    432      35    59080      86464      48.08  12076   1 chrome                                                                                                                                                                            
   1593     117   156832     191984      45.23   8060   1 SearchUI                                                                                                                                                                          
    498      97    54616      57312      41.31   5980   1 nvcontainer                                                                                                                                                                       
    338      35    74072      78700      33.19   5808   1 NVIDIA Share                                                                                                                                                                      
    374      34    66036      95564      29.78  13536   1 chrome                                                                                                                                                                            
    422      21     7452      11784      19.55   5972   1 nvcontainer                                                                                                                                                                       
    425      30    35052      55440      16.63   7672   1 OpenHardwareMonitor                                                                                                                                                               
    707      18     8180      19884      11.81   6004   1 sihost                                                                                                                                                                            
    254      15    13228      23244      11.03   4060   1 conhost                                                                                                                                                                           
   1102      44    51964      78528      10.16   7752   1 ShellExperienceHost                                                                                                                                                               
    383      29    37076      67500       9.56  11592   1 chrome                                                                                                                                                                            
    590      35    88296      77192       8.77    788   1 steamwebhelper                                                                                                                                                                    
