
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   3642     177   172888     210664     335.33   6596   1 explorer                                                                                                                                                                          
   1826      68   148084     185424     294.00   7356   1 chrome                                                                                                                                                                            
    684      49   254924     163484     172.19    468   1 chrome                                                                                                                                                                            
   1203      92    51276      63152     139.28   2460   1 Steam                                                                                                                                                                             
    491      27    37112      46032      82.98  12268   1 chrome                                                                                                                                                                            
   1021      85   186112     208944      80.81   7268   1 chrome                                                                                                                                                                            
    794      42    44904      44896      56.45   6296   1 NVIDIA Share                                                                                                                                                                      
    429      53   103744     123676      47.34  12076   1 chrome                                                                                                                                                                            
   1593     117   156832     192696      45.23   8060   1 SearchUI                                                                                                                                                                          
    498      97    54644      56620      41.09   5980   1 nvcontainer                                                                                                                                                                       
    338      35    74104      78832      33.11   5808   1 NVIDIA Share                                                                                                                                                                      
   1010    2989  3263056    1401340      31.38  11384   1 Three_Kingdoms                                                                                                                                                                    
    368      33    55808      84028      27.66  13536   1 chrome                                                                                                                                                                            
    422      21     7452      11760      19.48   5972   1 nvcontainer                                                                                                                                                                       
    425      30    35052      55504      16.63   7672   1 OpenHardwareMonitor                                                                                                                                                               
    736      19     8312      19984      11.81   6004   1 sihost                                                                                                                                                                            
    254      15    13228      23244      10.97   4060   1 conhost                                                                                                                                                                           
   1102      44    51964      78592      10.16   7752   1 ShellExperienceHost                                                                                                                                                               
    588      35    88296      79892       8.77    788   1 steamwebhelper                                                                                                                                                                    
    720      33    16288      33568       7.83   7332   1 RuntimeBroker                                                                                                                                                                     
