
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   3701     183   177900     213024     337.02   6596   1 explorer                                                                                                                                                                          
   1890      68   149068     187336     295.00   7356   1 chrome                                                                                                                                                                            
    707      52   273100     166484     173.39    468   1 chrome                                                                                                                                                                            
   1190      87    50508      62528     142.27   2460   1 Steam                                                                                                                                                                             
    507      28    37180      46168      83.02  12268   1 chrome                                                                                                                                                                            
   1020      68   165716     192732      81.77   7268   1 chrome                                                                                                                                                                            
    989    3008  3193128    1321508      65.84  11384   1 Three_Kingdoms                                                                                                                                                                    
    794      42    44904      44952      56.56   6296   1 NVIDIA Share                                                                                                                                                                      
    421      35    60256      88124      47.80  12076   1 chrome                                                                                                                                                                            
   1593     117   156832     191996      45.23   8060   1 SearchUI                                                                                                                                                                          
    498      97    54616      57312      41.30   5980   1 nvcontainer                                                                                                                                                                       
    338      35    74076      79384      33.17   5808   1 NVIDIA Share                                                                                                                                                                      
    377      34    58224      87828      28.31  13536   1 chrome                                                                                                                                                                            
    422      21     7452      11784      19.48   5972   1 nvcontainer                                                                                                                                                                       
    425      30    35052      55440      16.63   7672   1 OpenHardwareMonitor                                                                                                                                                               
    708      18     8180      19884      11.81   6004   1 sihost                                                                                                                                                                            
    254      15    13228      23240      11.00   4060   1 conhost                                                                                                                                                                           
   1102      44    51964      78528      10.16   7752   1 ShellExperienceHost                                                                                                                                                               
    588      35    88296      79884       8.77    788   1 steamwebhelper                                                                                                                                                                    
    693      32    16040      31284       7.83   7332   1 RuntimeBroker                                                                                                                                                                     
