
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   3717     182   178056     213096     336.95   6596   1 explorer                                                                                                                                                                          
   1918      69   149288     187456     294.91   7356   1 chrome                                                                                                                                                                            
    707      52   273020     166360     173.19    468   1 chrome                                                                                                                                                                            
   1190      87    50508      62528     141.59   2460   1 Steam                                                                                                                                                                             
    506      28    37180      46168      83.02  12268   1 chrome                                                                                                                                                                            
   1020      68   165668     191980      81.77   7268   1 chrome                                                                                                                                                                            
    989    3008  3193128    1321508      64.75  11384   1 Three_Kingdoms                                                                                                                                                                    
    794      42    44904      44952      56.55   6296   1 NVIDIA Share                                                                                                                                                                      
    427      36    60328      88164      47.80  12076   1 chrome                                                                                                                                                                            
   1593     117   156832     191996      45.23   8060   1 SearchUI                                                                                                                                                                          
    498      98    54700      57356      41.30   5980   1 nvcontainer                                                                                                                                                                       
    338      35    74076      79344      33.17   5808   1 NVIDIA Share                                                                                                                                                                      
    377      34    58224      87788      28.23  13536   1 chrome                                                                                                                                                                            
    422      21     7452      11784      19.48   5972   1 nvcontainer                                                                                                                                                                       
    425      30    35052      55440      16.63   7672   1 OpenHardwareMonitor                                                                                                                                                               
    706      18     8144      19864      11.81   6004   1 sihost                                                                                                                                                                            
    254      15    13228      23240      11.00   4060   1 conhost                                                                                                                                                                           
   1102      44    51964      78528      10.16   7752   1 ShellExperienceHost                                                                                                                                                               
    588      35    88296      79884       8.77    788   1 steamwebhelper                                                                                                                                                                    
    693      32    15972      31264       7.83   7332   1 RuntimeBroker                                                                                                                                                                     
