
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   3596     177   169288     206016     335.42   6596   1 explorer                                                                                                                                                                          
   1821      67   147996     185388     294.02   7356   1 chrome                                                                                                                                                                            
    684      49   254924     163488     172.19    468   1 chrome                                                                                                                                                                            
   1190      87    50508      62536     139.73   2460   1 Steam                                                                                                                                                                             
    497      27    37148      46072      82.98  12268   1 chrome                                                                                                                                                                            
   1022      67   163240     189136      81.23   7268   1 chrome                                                                                                                                                                            
   1006    3010  3183112    1321700      58.41  11384   1 Three_Kingdoms                                                                                                                                                                    
    796      42    44928      44972      56.47   6296   1 NVIDIA Share                                                                                                                                                                      
    430      36    59636      86292      47.42  12076   1 chrome                                                                                                                                                                            
   1593     117   156832     192696      45.23   8060   1 SearchUI                                                                                                                                                                          
    498      97    54644      57312      41.28   5980   1 nvcontainer                                                                                                                                                                       
    338      35    74076      79148      33.14   5808   1 NVIDIA Share                                                                                                                                                                      
    368      33    55808      84028      27.66  13536   1 chrome                                                                                                                                                                            
    422      21     7452      11784      19.48   5972   1 nvcontainer                                                                                                                                                                       
    425      30    35052      55504      16.63   7672   1 OpenHardwareMonitor                                                                                                                                                               
    720      19     8244      19944      11.81   6004   1 sihost                                                                                                                                                                            
    254      15    13228      23244      10.98   4060   1 conhost                                                                                                                                                                           
   1102      44    51964      78592      10.16   7752   1 ShellExperienceHost                                                                                                                                                               
    588      35    88296      79892       8.77    788   1 steamwebhelper                                                                                                                                                                    
    705      32    16040      31332       7.83   7332   1 RuntimeBroker                                                                                                                                                                     
