
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   3692     184   177824     213012     337.38   6596   1 explorer                                                                                                                                                                          
   1891      68   149060     187332     295.73   7356   1 chrome                                                                                                                                                                            
    707      52   271612     165204     173.94    468   1 chrome                                                                                                                                                                            
   1191      89    50636      62644     145.55   2460   1 Steam                                                                                                                                                                             
    494      27    37108      46128      83.02  12268   1 chrome                                                                                                                                                                            
   1014      68   164896     191468      81.84   7268   1 chrome                                                                                                                                                                            
    987    3008  3193084    1321168      71.97  11384   1 Three_Kingdoms                                                                                                                                                                    
    796      42    44908      41748      56.58   6296   1 NVIDIA Share                                                                                                                                                                      
    432      35    59080      86464      48.08  12076   1 chrome                                                                                                                                                                            
   1593     117   156832     191996      45.23   8060   1 SearchUI                                                                                                                                                                          
    498      98    54704      57360      41.31   5980   1 nvcontainer                                                                                                                                                                       
    344      36    74132      78688      33.19   5808   1 NVIDIA Share                                                                                                                                                                      
    374      34    66036      95528      29.64  13536   1 chrome                                                                                                                                                                            
    422      21     7452      11784      19.55   5972   1 nvcontainer                                                                                                                                                                       
    425      30    35052      55440      16.63   7672   1 OpenHardwareMonitor                                                                                                                                                               
    707      18     8180      19884      11.81   6004   1 sihost                                                                                                                                                                            
    254      15    13228      23244      11.03   4060   1 conhost                                                                                                                                                                           
   1102      44    51964      78528      10.16   7752   1 ShellExperienceHost                                                                                                                                                               
    590      35    88296      77192       8.77    788   1 steamwebhelper                                                                                                                                                                    
    383      29    37076      67500       8.48  11592   1 chrome                                                                                                                                                                            
