
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   3527     171   169772     205908     335.06   6596   1 explorer                                                                                                                                                                          
   1823      67   148044     185872     294.00   7356   1 chrome                                                                                                                                                                            
    684      49   254924     163716     172.19    468   1 chrome                                                                                                                                                                            
   1153      87    50468      62168     138.92   2460   1 Steam                                                                                                                                                                             
    494      27    37148      46204      82.98  12268   1 chrome                                                                                                                                                                            
   1021      85   185872     209088      80.81   7268   1 chrome                                                                                                                                                                            
    794      42    44880      41708      56.38   6296   1 NVIDIA Share                                                                                                                                                                      
    429      53   103744     124152      47.34  12076   1 chrome                                                                                                                                                                            
   1601     117   157044     194620      45.22   8060   1 SearchUI                                                                                                                                                                          
    498      98    54732      56272      41.09   5980   1 nvcontainer                                                                                                                                                                       
    338      35    73900      72516      33.03   5808   1 NVIDIA Share                                                                                                                                                                      
    368      33    55808      84536      27.66  13536   1 chrome                                                                                                                                                                            
    414      20     7392      11092      19.48   5972   1 nvcontainer                                                                                                                                                                       
    425      30    35244      56148      16.63   7672   1 OpenHardwareMonitor                                                                                                                                                               
    705      19     8264      18840      11.81   6004   1 sihost                                                                                                                                                                            
    254      15    13228      23308      10.97   4060   1 conhost                                                                                                                                                                           
   1102      44    51964      78908      10.16   7752   1 ShellExperienceHost                                                                                                                                                               
    560      34   106376      87624       8.75    788   1 steamwebhelper                                                                                                                                                                    
    734      34    16488      33816       7.83   7332   1 RuntimeBroker                                                                                                                                                                     
    719      79    33544      10040       7.11   6896   1 NVIDIA Web Helper                                                                                                                                                                 
