
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   1634     126   103304      50140   1,026.16   2460   1 Steam                                                                                                                                                                             
   1726    2474  8889596    2600484     646.70   3400   1 Warhammer2                                                                                                                                                                        
   2236      76   166888     122272     601.06   7356   1 chrome                                                                                                                                                                            
    727      52   363928     134580     581.77    468   1 chrome                                                                                                                                                                            
   3588     165   185948     134704     579.66   6596   1 explorer                                                                                                                                                                          
    511      29    36876      33864     145.41  12268   1 chrome                                                                                                                                                                            
    398      28    43264      13632     100.55  12348   1 OpenHardwareMonitor                                                                                                                                                               
    255      15    13732      10728      84.73    428   1 conhost                                                                                                                                                                           
   1936     267   618944     541276      79.55  12452   1 chrome                                                                                                                                                                            
    878      41    44996      26268      79.20   6296   1 NVIDIA Share                                                                                                                                                                      
    770      72   244436     220440      66.64  13248   1 chrome                                                                                                                                                                            
    383      35    63604      14040      66.31   8648   1 chrome                                                                                                                                                                            
    498     106    55476      35412      60.72   5980   1 nvcontainer                                                                                                                                                                       
   2051     171   201444     163764      60.56   8060   1 SearchUI                                                                                                                                                                          
    458      31    38448      14676      42.55   7672   1 OpenHardwareMonitor                                                                                                                                                               
    338      36    71076      47856      40.14   5808   1 NVIDIA Share                                                                                                                                                                      
    335      35    95884      82632      37.81  12652   1 chrome                                                                                                                                                                            
    454      21     7444       6844      31.75   5972   1 nvcontainer                                                                                                                                                                       
    370      44   104564      61688      25.22  13100   1 chrome                                                                                                                                                                            
    646      38   107740      43764      21.97    788   1 steamwebhelper                                                                                                                                                                    
