
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   1555     124   102516      45032   1,014.09   2460   1 Steam                                                                                                                                                                             
   2244      76   166944     122484     600.92   7356   1 chrome                                                                                                                                                                            
    727      52   383056     151840     581.48    468   1 chrome                                                                                                                                                                            
   3513     150   182496     123700     577.47   6596   1 explorer                                                                                                                                                                          
    518      30    36820      33696     145.41  12268   1 chrome                                                                                                                                                                            
    398      28    43264      13680     100.52  12348   1 OpenHardwareMonitor                                                                                                                                                               
    259      16    13760      10780      84.61    428   1 conhost                                                                                                                                                                           
   1942     263   604180     525760      79.42  12452   1 chrome                                                                                                                                                                            
    880      42    44996      33124      79.06   6296   1 NVIDIA Share                                                                                                                                                                      
    383      35    63604      13016      66.31   8648   1 chrome                                                                                                                                                                            
    770      71   241068     217640      63.86  13248   1 chrome                                                                                                                                                                            
    498     105    55452      34744      60.61   5980   1 nvcontainer                                                                                                                                                                       
   2051     171   201444     192840      60.56   8060   1 SearchUI                                                                                                                                                                          
    458      31    38448      14668      42.48   7672   1 OpenHardwareMonitor                                                                                                                                                               
    338      36    71152      38984      40.09   5808   1 NVIDIA Share                                                                                                                                                                      
    332      42   120344      94608      37.14  12652   1 chrome                                                                                                                                                                            
    446      20     7384       6228      31.75   5972   1 nvcontainer                                                                                                                                                                       
    370      44   103364      60428      25.20  13100   1 chrome                                                                                                                                                                            
    572      34   103620      20316      21.92    788   1 steamwebhelper                                                                                                                                                                    
    971      42    22892      18680      18.89  12748   1 steamwebhelper                                                                                                                                                                    
