
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   1635     126   103228      50404   1,025.28   2460   1 Steam                                                                                                                                                                             
   2239      76   166896     122616     600.97   7356   1 chrome                                                                                                                                                                            
    725      51   363512     135956     581.55    468   1 chrome                                                                                                                                                                            
   3604     158   186332     136264     578.67   6596   1 explorer                                                                                                                                                                          
    524      30    36900      34108     145.41  12268   1 chrome                                                                                                                                                                            
   1732    2316  8332112    2214280     111.28   3400   1 Warhammer2                                                                                                                                                                        
    398      28    43264      13684     100.52  12348   1 OpenHardwareMonitor                                                                                                                                                               
    255      15    13732      10768      84.70    428   1 conhost                                                                                                                                                                           
   1942     264   609452     531432      79.47  12452   1 chrome                                                                                                                                                                            
    882      41    45052      27948      79.19   6296   1 NVIDIA Share                                                                                                                                                                      
    383      35    63604      13020      66.31   8648   1 chrome                                                                                                                                                                            
    770      71   242520     218988      65.00  13248   1 chrome                                                                                                                                                                            
    498     106    55476      35788      60.66   5980   1 nvcontainer                                                                                                                                                                       
   2051     171   201444     168696      60.56   8060   1 SearchUI                                                                                                                                                                          
    458      31    38448      14684      42.50   7672   1 OpenHardwareMonitor                                                                                                                                                               
    338      36    71080      47768      40.14   5808   1 NVIDIA Share                                                                                                                                                                      
    338      35    71184      58188      37.36  12652   1 chrome                                                                                                                                                                            
    454      21     7444       7000      31.75   5972   1 nvcontainer                                                                                                                                                                       
    367      44   103808      61652      25.20  13100   1 chrome                                                                                                                                                                            
    646      38   107740      45072      21.97    788   1 steamwebhelper                                                                                                                                                                    
