
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   1645     130   103304      50420   1,024.81   2460   1 Steam                                                                                                                                                                             
   2248      77   167008     122660     600.97   7356   1 chrome                                                                                                                                                                            
    725      51   363512     138356     581.55    468   1 chrome                                                                                                                                                                            
   3624     157   189860     138032     578.41   6596   1 explorer                                                                                                                                                                          
    540      32    36940      34084     145.41  12268   1 chrome                                                                                                                                                                            
    398      28    43264      13680     100.52  12348   1 OpenHardwareMonitor                                                                                                                                                               
    259      16    13760      10784      84.67    428   1 conhost                                                                                                                                                                           
   1942     264   606764     528252      79.47  12452   1 chrome                                                                                                                                                                            
    882      41    45080      27964      79.16   6296   1 NVIDIA Share                                                                                                                                                                      
    383      35    63604      13020      66.31   8648   1 chrome                                                                                                                                                                            
   1738    1550  1841408    1515156      64.89   3400   1 Warhammer2                                                                                                                                                                        
    770      71   241560     218432      64.34  13248   1 chrome                                                                                                                                                                            
    498     105    55452      35772      60.64   5980   1 nvcontainer                                                                                                                                                                       
   2051     171   201444     186464      60.56   8060   1 SearchUI                                                                                                                                                                          
    458      31    38448      14676      42.50   7672   1 OpenHardwareMonitor                                                                                                                                                               
    338      36    70960      47336      40.14   5808   1 NVIDIA Share                                                                                                                                                                      
    332      38    88116      67320      37.31  12652   1 chrome                                                                                                                                                                            
    454      21     7444       7000      31.75   5972   1 nvcontainer                                                                                                                                                                       
    367      44   103568      61000      25.20  13100   1 chrome                                                                                                                                                                            
    644      38   107740      47792      21.97    788   1 steamwebhelper                                                                                                                                                                    
