
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   1638     128   103304      50420   1,024.86   2460   1 Steam                                                                                                                                                                             
   2246      77   167008     122660     600.97   7356   1 chrome                                                                                                                                                                            
    725      51   363512     138132     581.55    468   1 chrome                                                                                                                                                                            
   3624     157   189648     137824     578.44   6596   1 explorer                                                                                                                                                                          
    532      31    36860      34052     145.41  12268   1 chrome                                                                                                                                                                            
    398      28    43264      13680     100.52  12348   1 OpenHardwareMonitor                                                                                                                                                               
    255      15    13732      10768      84.67    428   1 conhost                                                                                                                                                                           
   1942     264   606796     528800      79.47  12452   1 chrome                                                                                                                                                                            
    879      41    45052      27948      79.16   6296   1 NVIDIA Share                                                                                                                                                                      
   1734    1663  1928304    1617940      76.72   3400   1 Warhammer2                                                                                                                                                                        
    383      35    63604      13020      66.31   8648   1 chrome                                                                                                                                                                            
    770      71   242184     218448      64.53  13248   1 chrome                                                                                                                                                                            
    498     105    55452      35772      60.64   5980   1 nvcontainer                                                                                                                                                                       
   2051     171   201444     180100      60.56   8060   1 SearchUI                                                                                                                                                                          
    458      31    38448      14676      42.50   7672   1 OpenHardwareMonitor                                                                                                                                                               
    338      36    70960      47400      40.14   5808   1 NVIDIA Share                                                                                                                                                                      
    332      38    89444      69680      37.31  12652   1 chrome                                                                                                                                                                            
    454      21     7444       7000      31.75   5972   1 nvcontainer                                                                                                                                                                       
    367      44   103568      61064      25.20  13100   1 chrome                                                                                                                                                                            
    644      38   107740      47792      21.97    788   1 steamwebhelper                                                                                                                                                                    
