
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   1644     128   102968      50148   1,017.00   2460   1 Steam                                                                                                                                                                             
   2248      77   167008     122592     600.97   7356   1 chrome                                                                                                                                                                            
    725      51   363512     138356     581.55    468   1 chrome                                                                                                                                                                            
   3624     156   189648     137812     578.25   6596   1 explorer                                                                                                                                                                          
    541      32    36968      34096     145.41  12268   1 chrome                                                                                                                                                                            
    398      28    43264      13680     100.52  12348   1 OpenHardwareMonitor                                                                                                                                                               
    259      16    13760      10784      84.66    428   1 conhost                                                                                                                                                                           
   1936     263   605852     527724      79.47  12452   1 chrome                                                                                                                                                                            
    882      41    45080      29360      79.16   6296   1 NVIDIA Share                                                                                                                                                                      
    383      35    63604      13020      66.31   8648   1 chrome                                                                                                                                                                            
    770      71   240740     216852      64.33  13248   1 chrome                                                                                                                                                                            
    498     105    55452      35772      60.64   5980   1 nvcontainer                                                                                                                                                                       
   2051     171   201444     191532      60.56   8060   1 SearchUI                                                                                                                                                                          
    458      31    38448      14672      42.50   7672   1 OpenHardwareMonitor                                                                                                                                                               
    344      36    71020      47300      40.14   5808   1 NVIDIA Share                                                                                                                                                                      
    985    1309  3340580    1311868      37.80   3400   1 Warhammer2                                                                                                                                                                        
    332      38    85216      64080      37.31  12652   1 chrome                                                                                                                                                                            
    454      21     7444       7000      31.75   5972   1 nvcontainer                                                                                                                                                                       
    367      44   103448      60868      25.20  13100   1 chrome                                                                                                                                                                            
    644      38   107740      47788      21.97    788   1 steamwebhelper                                                                                                                                                                    
