
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   1635     126   103228      50232   1,025.38   2460   1 Steam                                                                                                                                                                             
   2242      76   166952     122628     600.98   7356   1 chrome                                                                                                                                                                            
    727      52   363672     135772     581.56    468   1 chrome                                                                                                                                                                            
   3598     160   186176     135756     578.86   6596   1 explorer                                                                                                                                                                          
   1734    2474  8889636    2700744     189.63   3400   1 Warhammer2                                                                                                                                                                        
    521      30    36904      34040     145.41  12268   1 chrome                                                                                                                                                                            
    398      28    43264      13712     100.52  12348   1 OpenHardwareMonitor                                                                                                                                                               
    255      15    13732      10716      84.70    428   1 conhost                                                                                                                                                                           
   1936     264   611308     533912      79.47  12452   1 chrome                                                                                                                                                                            
    879      41    45024      27800      79.19   6296   1 NVIDIA Share                                                                                                                                                                      
    383      35    63604      12988      66.31   8648   1 chrome                                                                                                                                                                            
    770      72   243064     219992      65.38  13248   1 chrome                                                                                                                                                                            
    498     105    55452      35752      60.67   5980   1 nvcontainer                                                                                                                                                                       
   2051     171   201444     168668      60.56   8060   1 SearchUI                                                                                                                                                                          
    458      31    38448      14664      42.52   7672   1 OpenHardwareMonitor                                                                                                                                                               
    338      36    71080      47964      40.14   5808   1 NVIDIA Share                                                                                                                                                                      
    332      35    88132      74968      37.42  12652   1 chrome                                                                                                                                                                            
    454      21     7444       6968      31.75   5972   1 nvcontainer                                                                                                                                                                       
    367      44   103928      61148      25.20  13100   1 chrome                                                                                                                                                                            
    646      38   107740      44648      21.97    788   1 steamwebhelper                                                                                                                                                                    
