
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   1641     128   103304      50136   1,025.92   2460   1 Steam                                                                                                                                                                             
   2239      76   166896     122260     601.06   7356   1 chrome                                                                                                                                                                            
    727      52   363800     134452     581.67    468   1 chrome                                                                                                                                                                            
   3586     164   185948     134704     579.53   6596   1 explorer                                                                                                                                                                          
   1736    2474  8889656    2599956     508.03   3400   1 Warhammer2                                                                                                                                                                        
    508      29    36868      33856     145.41  12268   1 chrome                                                                                                                                                                            
    398      28    43264      13628     100.55  12348   1 OpenHardwareMonitor                                                                                                                                                               
    255      15    13732      10728      84.73    428   1 conhost                                                                                                                                                                           
   1936     266   616708     538892      79.50  12452   1 chrome                                                                                                                                                                            
    881      41    45024      26284      79.20   6296   1 NVIDIA Share                                                                                                                                                                      
    770      72   243936     219644      66.47  13248   1 chrome                                                                                                                                                                            
    383      35    63604      13000      66.31   8648   1 chrome                                                                                                                                                                            
    498     105    55452      35396      60.70   5980   1 nvcontainer                                                                                                                                                                       
   2051     171   201444     163764      60.56   8060   1 SearchUI                                                                                                                                                                          
    458      31    38448      14668      42.55   7672   1 OpenHardwareMonitor                                                                                                                                                               
    338      36    71076      47536      40.14   5808   1 NVIDIA Share                                                                                                                                                                      
    332      35    73748      62196      37.69  12652   1 chrome                                                                                                                                                                            
    454      21     7444       6844      31.75   5972   1 nvcontainer                                                                                                                                                                       
    367      44   104408      62204      25.22  13100   1 chrome                                                                                                                                                                            
    646      38   107740      43764      21.97    788   1 steamwebhelper                                                                                                                                                                    
