
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   1577     125   102592      48252   1,014.28   2460   1 Steam                                                                                                                                                                             
   2244      76   166944     122552     600.97   7356   1 chrome                                                                                                                                                                            
    725      51   374032     149972     581.50    468   1 chrome                                                                                                                                                                            
   3566     153   183880     128440     577.86   6596   1 explorer                                                                                                                                                                          
    515      30    36784      33676     145.41  12268   1 chrome                                                                                                                                                                            
    398      28    43264      13680     100.52  12348   1 OpenHardwareMonitor                                                                                                                                                               
    259      16    13760      10780      84.63    428   1 conhost                                                                                                                                                                           
   1942     263   604212     526332      79.44  12452   1 chrome                                                                                                                                                                            
    883      42    45024      33140      79.06   6296   1 NVIDIA Share                                                                                                                                                                      
    383      35    63604      13016      66.31   8648   1 chrome                                                                                                                                                                            
    770      71   241176     217188      64.00  13248   1 chrome                                                                                                                                                                            
    498     105    55452      34744      60.61   5980   1 nvcontainer                                                                                                                                                                       
   2051     171   201444     192840      60.56   8060   1 SearchUI                                                                                                                                                                          
    458      31    38448      14668      42.48   7672   1 OpenHardwareMonitor                                                                                                                                                               
    338      36    71152      39044      40.09   5808   1 NVIDIA Share                                                                                                                                                                      
    332      42   121544      95160      37.23  12652   1 chrome                                                                                                                                                                            
    446      20     7384       6232      31.75   5972   1 nvcontainer                                                                                                                                                                       
    370      44   103364      60496      25.20  13100   1 chrome                                                                                                                                                                            
    572      34   103620      20316      21.92    788   1 steamwebhelper                                                                                                                                                                    
    974      42    22924      18768      18.89  12748   1 steamwebhelper                                                                                                                                                                    
