
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   1641     128   102676      48816   1,014.64   2460   1 Steam                                                                                                                                                                             
   2243      77   166972     122568     600.97   7356   1 chrome                                                                                                                                                                            
    725      51   363512     138556     581.55    468   1 chrome                                                                                                                                                                            
   3674     156   190184     138020     578.22   6596   1 explorer                                                                                                                                                                          
    520      31    36876      33724     145.41  12268   1 chrome                                                                                                                                                                            
    398      28    43264      13680     100.52  12348   1 OpenHardwareMonitor                                                                                                                                                               
    259      16    13760      10784      84.66    428   1 conhost                                                                                                                                                                           
   1936     263   605156     527192      79.47  12452   1 chrome                                                                                                                                                                            
    877      41    45024      33440      79.16   6296   1 NVIDIA Share                                                                                                                                                                      
    383      35    63604      13016      66.31   8648   1 chrome                                                                                                                                                                            
    770      71   241180     217700      64.19  13248   1 chrome                                                                                                                                                                            
    498     105    55452      35772      60.64   5980   1 nvcontainer                                                                                                                                                                       
   2051     171   201444     191604      60.56   8060   1 SearchUI                                                                                                                                                                          
    458      31    38448      14668      42.50   7672   1 OpenHardwareMonitor                                                                                                                                                               
    344      36    71020      47204      40.14   5808   1 NVIDIA Share                                                                                                                                                                      
    338      38    82528      60404      37.31  12652   1 chrome                                                                                                                                                                            
    454      21     7444       7000      31.75   5972   1 nvcontainer                                                                                                                                                                       
    367      44   103448      60736      25.20  13100   1 chrome                                                                                                                                                                            
    856    1237  1164788     918336      23.52   3400   1 Warhammer2                                                                                                                                                                        
    615      36    99188      34088      21.97    788   1 steamwebhelper                                                                                                                                                                    
