
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   1635     126   103228      50356   1,025.31   2460   1 Steam                                                                                                                                                                             
   2236      76   166888     122528     600.97   7356   1 chrome                                                                                                                                                                            
    727      52   363544     135912     581.55    468   1 chrome                                                                                                                                                                            
   3604     159   186344     136176     578.70   6596   1 explorer                                                                                                                                                                          
    517      30    36852      34044     145.41  12268   1 chrome                                                                                                                                                                            
   1732    2381  8798956    2458744     115.22   3400   1 Warhammer2                                                                                                                                                                        
    398      28    43264      13680     100.52  12348   1 OpenHardwareMonitor                                                                                                                                                               
    255      15    13732      10760      84.70    428   1 conhost                                                                                                                                                                           
   1936     264   609568     531884      79.47  12452   1 chrome                                                                                                                                                                            
    879      41    45024      27896      79.19   6296   1 NVIDIA Share                                                                                                                                                                      
    383      35    63604      13016      66.31   8648   1 chrome                                                                                                                                                                            
    770      71   242520     219624      65.00  13248   1 chrome                                                                                                                                                                            
    498     106    55476      35780      60.66   5980   1 nvcontainer                                                                                                                                                                       
   2051     171   201444     168684      60.56   8060   1 SearchUI                                                                                                                                                                          
    458      31    38448      14680      42.50   7672   1 OpenHardwareMonitor                                                                                                                                                               
    338      36    71080      47832      40.14   5808   1 NVIDIA Share                                                                                                                                                                      
    332      34    73644      60728      37.38  12652   1 chrome                                                                                                                                                                            
    454      21     7444       6996      31.75   5972   1 nvcontainer                                                                                                                                                                       
    367      44   103808      61772      25.20  13100   1 chrome                                                                                                                                                                            
    646      38   107740      44892      21.97    788   1 steamwebhelper                                                                                                                                                                    
