
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   1640     126   103228      50016   1,025.52   2460   1 Steam                                                                                                                                                                             
   2242      76   166952     122268     601.00   7356   1 chrome                                                                                                                                                                            
    727      52   363672     134084     581.58    468   1 chrome                                                                                                                                                                            
   3588     161   185816     134588     579.05   6596   1 explorer                                                                                                                                                                          
   1733    2474  8897856    2609588     290.97   3400   1 Warhammer2                                                                                                                                                                        
    514      30    36868      33824     145.41  12268   1 chrome                                                                                                                                                                            
    398      28    43264      13592     100.53  12348   1 OpenHardwareMonitor                                                                                                                                                               
    255      15    13732      10720      84.72    428   1 conhost                                                                                                                                                                           
   1936     265   613376     535056      79.48  12452   1 chrome                                                                                                                                                                            
    881      41    45024      27672      79.19   6296   1 NVIDIA Share                                                                                                                                                                      
    383      35    63604      12996      66.31   8648   1 chrome                                                                                                                                                                            
    770      72   243280     217976      65.77  13248   1 chrome                                                                                                                                                                            
    498     105    55452      33696      60.69   5980   1 nvcontainer                                                                                                                                                                       
   2051     171   201444     163764      60.56   8060   1 SearchUI                                                                                                                                                                          
    458      31    38448      14484      42.55   7672   1 OpenHardwareMonitor                                                                                                                                                               
    344      36    71136      47092      40.14   5808   1 NVIDIA Share                                                                                                                                                                      
    332      35   105116      90624      37.55  12652   1 chrome                                                                                                                                                                            
    454      21     7444       6844      31.75   5972   1 nvcontainer                                                                                                                                                                       
    367      44   104048      61480      25.22  13100   1 chrome                                                                                                                                                                            
    646      38   107740      43764      21.97    788   1 steamwebhelper                                                                                                                                                                    
