
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   1644     127   103228      50248   1,025.44   2460   1 Steam                                                                                                                                                                             
   2242      76   166952     122656     600.98   7356   1 chrome                                                                                                                                                                            
    727      52   363672     135792     581.58    468   1 chrome                                                                                                                                                                            
   3597     160   186112     135212     578.97   6596   1 explorer                                                                                                                                                                          
   1734    2474  8890008    2721960     229.94   3400   1 Warhammer2                                                                                                                                                                        
    517      30    36904      34040     145.41  12268   1 chrome                                                                                                                                                                            
    398      28    43264      13716     100.53  12348   1 OpenHardwareMonitor                                                                                                                                                               
    255      15    13732      10716      84.70    428   1 conhost                                                                                                                                                                           
   1942     265   612184     534512      79.48  12452   1 chrome                                                                                                                                                                            
    879      41    45024      27800      79.19   6296   1 NVIDIA Share                                                                                                                                                                      
    383      35    63604      12996      66.31   8648   1 chrome                                                                                                                                                                            
    770      72   243184     219860      65.56  13248   1 chrome                                                                                                                                                                            
    498     105    55452      35776      60.69   5980   1 nvcontainer                                                                                                                                                                       
   2051     171   201444     168668      60.56   8060   1 SearchUI                                                                                                                                                                          
    458      31    38448      14664      42.53   7672   1 OpenHardwareMonitor                                                                                                                                                               
    338      36    71080      48044      40.14   5808   1 NVIDIA Share                                                                                                                                                                      
    332      35    96348      83664      37.50  12652   1 chrome                                                                                                                                                                            
    454      21     7444       6968      31.75   5972   1 nvcontainer                                                                                                                                                                       
    367      44   104048      61284      25.22  13100   1 chrome                                                                                                                                                                            
    646      38   107740      44648      21.97    788   1 steamwebhelper                                                                                                                                                                    
