
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   1641     128   103304      50136   1,025.89   2460   1 Steam                                                                                                                                                                             
   2239      76   166896     122260     601.06   7356   1 chrome                                                                                                                                                                            
    727      52   363800     134452     581.67    468   1 chrome                                                                                                                                                                            
   3590     163   186024     134720     579.50   6596   1 explorer                                                                                                                                                                          
   1736    2474  8889656    2599824     488.36   3400   1 Warhammer2                                                                                                                                                                        
    508      29    36868      33856     145.41  12268   1 chrome                                                                                                                                                                            
    398      28    43264      13628     100.55  12348   1 OpenHardwareMonitor                                                                                                                                                               
    255      15    13732      10724      84.73    428   1 conhost                                                                                                                                                                           
   1936     265   616364     538276      79.50  12452   1 chrome                                                                                                                                                                            
    881      41    45024      26284      79.20   6296   1 NVIDIA Share                                                                                                                                                                      
    383      35    63604      13000      66.31   8648   1 chrome                                                                                                                                                                            
    770      72   243872     220232      66.28  13248   1 chrome                                                                                                                                                                            
    498     105    55452      35396      60.70   5980   1 nvcontainer                                                                                                                                                                       
   2051     171   201444     163764      60.56   8060   1 SearchUI                                                                                                                                                                          
    458      31    38448      14664      42.55   7672   1 OpenHardwareMonitor                                                                                                                                                               
    338      36    71076      47496      40.14   5808   1 NVIDIA Share                                                                                                                                                                      
    332      35    72304      61256      37.67  12652   1 chrome                                                                                                                                                                            
    454      21     7444       6844      31.75   5972   1 nvcontainer                                                                                                                                                                       
    367      44   104288      62136      25.22  13100   1 chrome                                                                                                                                                                            
    646      38   107740      43764      21.97    788   1 steamwebhelper                                                                                                                                                                    
