
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   1555     124   102516      45012   1,013.94   2460   1 Steam                                                                                                                                                                             
   2246      77   166980     122504     600.89   7356   1 chrome                                                                                                                                                                            
    727      52   383056     152288     581.41    468   1 chrome                                                                                                                                                                            
   3513     150   182548     124016     577.31   6596   1 explorer                                                                                                                                                                          
    520      31    36848      33708     145.41  12268   1 chrome                                                                                                                                                                            
    398      28    43264      13676     100.52  12348   1 OpenHardwareMonitor                                                                                                                                                               
    259      16    13760      10780      84.61    428   1 conhost                                                                                                                                                                           
   1936     263   603528     525288      79.33  12452   1 chrome                                                                                                                                                                            
    880      42    44996      33124      79.06   6296   1 NVIDIA Share                                                                                                                                                                      
    383      35    63604      13016      66.31   8648   1 chrome                                                                                                                                                                            
    770      71   240948     216964      63.81  13248   1 chrome                                                                                                                                                                            
    498     105    55452      34744      60.59   5980   1 nvcontainer                                                                                                                                                                       
   2051     171   201444     192856      60.56   8060   1 SearchUI                                                                                                                                                                          
    458      31    38448      14668      42.48   7672   1 OpenHardwareMonitor                                                                                                                                                               
    338      36    71136      38904      40.09   5808   1 NVIDIA Share                                                                                                                                                                      
    332      42   117944      91872      36.88  12652   1 chrome                                                                                                                                                                            
    446      20     7384       6228      31.75   5972   1 nvcontainer                                                                                                                                                                       
    367      44   103208      61288      25.20  13100   1 chrome                                                                                                                                                                            
    572      34   103620      20316      21.92    788   1 steamwebhelper                                                                                                                                                                    
    971      42    22892      18680      18.89  12748   1 steamwebhelper                                                                                                                                                                    
