
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   1644     127   103228      50248   1,025.45   2460   1 Steam                                                                                                                                                                             
   2242      76   166952     122656     601.00   7356   1 chrome                                                                                                                                                                            
    727      52   363672     135796     581.58    468   1 chrome                                                                                                                                                                            
   3597     160   185972     135160     579.02   6596   1 explorer                                                                                                                                                                          
   1732    2474  8890008    2733296     250.53   3400   1 Warhammer2                                                                                                                                                                        
    517      30    36904      34040     145.41  12268   1 chrome                                                                                                                                                                            
    398      28    43264      13716     100.53  12348   1 OpenHardwareMonitor                                                                                                                                                               
    255      15    13732      10720      84.72    428   1 conhost                                                                                                                                                                           
   1942     265   612680     534564      79.48  12452   1 chrome                                                                                                                                                                            
    882      41    45052      27816      79.19   6296   1 NVIDIA Share                                                                                                                                                                      
    383      35    63604      12996      66.31   8648   1 chrome                                                                                                                                                                            
    770      72   243184     220240      65.56  13248   1 chrome                                                                                                                                                                            
    498     105    55452      35776      60.69   5980   1 nvcontainer                                                                                                                                                                       
   2051     171   201444     168668      60.56   8060   1 SearchUI                                                                                                                                                                          
    458      31    38448      14664      42.55   7672   1 OpenHardwareMonitor                                                                                                                                                               
    344      36    71136      47232      40.14   5808   1 NVIDIA Share                                                                                                                                                                      
    332      35    98708      85388      37.53  12652   1 chrome                                                                                                                                                                            
    454      21     7444       6968      31.75   5972   1 nvcontainer                                                                                                                                                                       
    367      44   104048      61348      25.22  13100   1 chrome                                                                                                                                                                            
    646      38   107740      44648      21.97    788   1 steamwebhelper                                                                                                                                                                    
