
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   1634     126   103304      50140   1,026.22   2460   1 Steam                                                                                                                                                                             
   1728    2474  8889596    2600640     666.30   3400   1 Warhammer2                                                                                                                                                                        
   2236      76   166888     122272     601.06   7356   1 chrome                                                                                                                                                                            
    727      52   363928     134580     581.77    468   1 chrome                                                                                                                                                                            
   3588     166   185948     134704     579.67   6596   1 explorer                                                                                                                                                                          
    511      29    36876      33864     145.41  12268   1 chrome                                                                                                                                                                            
    398      28    43264      13632     100.55  12348   1 OpenHardwareMonitor                                                                                                                                                               
    255      15    13732      10732      84.73    428   1 conhost                                                                                                                                                                           
   1936     267   619396     541232      79.56  12452   1 chrome                                                                                                                                                                            
    878      41    44996      26268      79.20   6296   1 NVIDIA Share                                                                                                                                                                      
    770      72   244436     220788      66.64  13248   1 chrome                                                                                                                                                                            
    383      35    63604      14068      66.31   8648   1 chrome                                                                                                                                                                            
    498     106    55476      35412      60.73   5980   1 nvcontainer                                                                                                                                                                       
   2051     171   201444     163764      60.56   8060   1 SearchUI                                                                                                                                                                          
    458      31    38448      14676      42.55   7672   1 OpenHardwareMonitor                                                                                                                                                               
    338      36    71076      47892      40.14   5808   1 NVIDIA Share                                                                                                                                                                      
    335      35    99284      86104      37.83  12652   1 chrome                                                                                                                                                                            
    454      21     7444       6844      31.75   5972   1 nvcontainer                                                                                                                                                                       
    367      44   104528      61736      25.22  13100   1 chrome                                                                                                                                                                            
    646      38   107740      43764      21.97    788   1 steamwebhelper                                                                                                                                                                    
