
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   1641     128   102676      48808   1,014.52   2460   1 Steam                                                                                                                                                                             
   2248      77   167016     122596     600.97   7356   1 chrome                                                                                                                                                                            
    725      51   363512     139516     581.55    468   1 chrome                                                                                                                                                                            
   3676     156   190184     138020     578.17   6596   1 explorer                                                                                                                                                                          
    521      30    36820      33700     145.41  12268   1 chrome                                                                                                                                                                            
    398      28    43264      13680     100.52  12348   1 OpenHardwareMonitor                                                                                                                                                               
    259      16    13760      10784      84.64    428   1 conhost                                                                                                                                                                           
   1936     263   604760     526728      79.47  12452   1 chrome                                                                                                                                                                            
    883      42    45052      33160      79.06   6296   1 NVIDIA Share                                                                                                                                                                      
    383      35    63604      13016      66.31   8648   1 chrome                                                                                                                                                                            
    770      71   241180     217892      64.02  13248   1 chrome                                                                                                                                                                            
    498     105    55452      35200      60.61   5980   1 nvcontainer                                                                                                                                                                       
   2051     171   201444     191956      60.56   8060   1 SearchUI                                                                                                                                                                          
    458      31    38448      14668      42.50   7672   1 OpenHardwareMonitor                                                                                                                                                               
    338      36    71168      39224      40.09   5808   1 NVIDIA Share                                                                                                                                                                      
    332      42   123944      97900      37.30  12652   1 chrome                                                                                                                                                                            
    454      21     7444       6852      31.75   5972   1 nvcontainer                                                                                                                                                                       
    367      44   103328      60608      25.20  13100   1 chrome                                                                                                                                                                            
    609      36   103724      27736      21.95    788   1 steamwebhelper                                                                                                                                                                    
   1027      44    23740      30032      18.92  12748   1 steamwebhelper                                                                                                                                                                    
