
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   1633     126   103228      50024   1,025.75   2460   1 Steam                                                                                                                                                                             
   2241      76   166952     122284     601.03   7356   1 chrome                                                                                                                                                                            
    727      52   363800     134216     581.64    468   1 chrome                                                                                                                                                                            
   3590     162   185892     134656     579.27   6596   1 explorer                                                                                                                                                                          
   1732    2474  8889496    2602012     389.39   3400   1 Warhammer2                                                                                                                                                                        
    516      29    36904      33876     145.41  12268   1 chrome                                                                                                                                                                            
    398      28    43264      13628     100.53  12348   1 OpenHardwareMonitor                                                                                                                                                               
    255      15    13732      10724      84.73    428   1 conhost                                                                                                                                                                           
   1942     266   615072     536688      79.48  12452   1 chrome                                                                                                                                                                            
    881      41    45024      26284      79.20   6296   1 NVIDIA Share                                                                                                                                                                      
    383      35    63604      12996      66.31   8648   1 chrome                                                                                                                                                                            
    770      72   243472     219300      66.11  13248   1 chrome                                                                                                                                                                            
    498     105    55452      35396      60.69   5980   1 nvcontainer                                                                                                                                                                       
   2051     171   201444     163764      60.56   8060   1 SearchUI                                                                                                                                                                          
    458      31    38448      14548      42.55   7672   1 OpenHardwareMonitor                                                                                                                                                               
    338      36    71076      47276      40.14   5808   1 NVIDIA Share                                                                                                                                                                      
    332      35   118088     104996      37.58  12652   1 chrome                                                                                                                                                                            
    454      21     7444       6844      31.75   5972   1 nvcontainer                                                                                                                                                                       
    367      44   104168      61804      25.22  13100   1 chrome                                                                                                                                                                            
    646      38   107740      43764      21.97    788   1 steamwebhelper                                                                                                                                                                    
